word,frequency
ireland,2
uk,1
irish,1
pm,1
unveil,1
initiative,1
prime,1
minister,1
great,1
britain,1
schedule,1
meet,1
thursday,1
announce,1
plan,1
restore,1
northern,1
assembly,1
