word,frequency
say,2
obasanjo,2
resign,2
term,2
president,2
nigeria,1
vp,1
3rd,1
abuja,1
nigerian,1
vice,1
atiku,1
abubakar,1
thursday,1
olusegun,1
seek,1
office,1
man,1
rivalry,1
ahead,1
election,1
year,1
degenerate,1
open,1
hostility,1
