word,frequency
step,2
chirac,1
party,1
seek,1
way,1
french,1
job,1
row,1
paris,1
france,1
rule,1
conservative,1
set,1
friday,1
outline,1
possible,1
end,1
confrontation,1
youth,1
labor,1
law,1
spark,1
call,1
prime,1
minister,1
dominique,1
de,1
villepin,1
