word,frequency
flight,1
china,1
leave,1
man,1
strand,1
seatac,1
wash,1
sun,1
dip,1
low,1
sky,1
sunday,1
plane,1
begin,1
descent,1
eugene,1
nelson,1
sink,1
feeling,1
wrong,1
