word,frequency
11,3
giuliani,2
take,2
stand,2
trial,2
terrorist,2
attack,2
mayor,1
rudy,1
lead,1
new,1
york,1
dark,1
day,1
september,1
witness,1
government,1
today,1
death,1
penalty,1
zacarias,1
moussaoui,1
prosecutor,1
tell,1
juror,1
time,1
hear,1
voice,1
learn,1
suffering,1
cause,1
