word,frequency
seat,2
rights,2
council,2
united,2
decline,1
nations,1
states,1
decide,1
forgo,1
new,1
human,1
year,1
risk,1
lose,1
battle,1
panel,1
consider,1
deeply,1
flawed,1
42,1
country,1
announce,1
candidacy,1
include,1
cuba,1
iran,1
